County,totalvote,repvote
Lyon,5754,4195
Osceola,4102,2516
Dickinson,6151,3472
Emmet,5847,3444
Kossuth,10089,5350
Winnebago,5954,3543
Worth,4420,2383
Mitchell,5830,3533
Howard,5827,3143
Winneshiek,9319,5600
Allamakee,7110,4449
Clayton,8878,5132
Fayette ,11687,6935
Chickasaw,6764,3510
Floyd,8178,4792
Cerro Gordo,20310,10661
Hancock,5949,3544
Palo Alto,6223,3114
Clay,7628,4325
O'Brien,8068,5594
Sioux ,12507,10010
Plymouth,10037,6236
Cherokee,7496,4436
Buena Vista,9050,5599
Pocahontas,5594,2940
Humboldt,5410,3239
Wright,7549,4299
Franklin,5677,3604
Butler,6589,4651
Bremer,8523,5604
Dubuque,34863,14197
Delaware,7829,4650
Buchanan,8674,4541
Black Hawk,49554,25594
Grundy,6840,4866
Hardin,9134,5308
Hamilton,8001,4607
Webster,19097,9349
Calhoun,6458,3715
Sac,6676,4182
Ida,4425,2753
Woodbury,41803,21159
Monona,5610,2980
Crawford,7744,4287
Carroll,9202,3907
Greene,5736,3208
Boone,11096,5260
Story,23675,13327
Marshall,16686,9402
Tama,9253,4955
Benton,9635,5016
Linn,64430,30918
Jones ,8412,4513
Jackson,8533,4535
Clinton,22175,11513
Scott,55018,25783
Cedar,7614,4494
Johnson,25944,11384
Iowa,7111,4133
Poweshiek,8112,4470
Jasper,15255,7901
Polk,114784,51814
Dallas,11287,5549
Guthrie,5751,3346
Audubon,4504,2592
Shelby ,6626,3886
Harrison,6825,3867
Pottawattamie,28399,16038
Cass,7761,5223
Adair,4586,2789
Madison,5679,3151
Warren,11171,5619
Marion,11062,5791
Mahaska,9970,5670
Keokuk,6737,3588
Washington,7943,4899
Muscatine,12874,7361
Louisa,4484,2529
Des Moines,19979,8452
Henry,7659,4613
Jefferson,6939,4130
Wapello,18647,7825
Monroe,4705,2143
Lucas,4782,2543
Clarke,4000,2059
Union,5898,3365
Adams,3128,1868
Montgomery,6481,4155
Mills,4672,2916
Fremont,4270,2385
Page,8679,5907
Taylor,4636,2765
Ringgold,3481,1986
Decatur,4588,2261
Wayne,4573,2553
Appanoose,7053,3497
Davis,4078,2016
Van Buren,3869,2294
Lee ,18036,8883